Index,GeoFips,2001,2002,2003,2004,2005,Average
362,47580,147377.0,150927.0,154342.0,159187.0,161847.0,154736.0
363,47900,4970350.0,5055829.0,5124633.0,5199870.0,5273577.0,5124851.8
364,47940,163590.0,162634.0,162388.0,162793.0,163260.0,162933.0
365,48060,111422.0,111112.0,110246.0,109924.0,113486.0,111238.0
366,48140,126459.0,126880.0,127311.0,127855.0,128958.0,127492.6
367,48260,130701.0,129750.0,129141.0,128241.0,127464.0,129059.4
368,48300,99361.0,99786.0,100654.0,101968.0,103369.0,101027.6
369,48540,151728.0,151442.0,150666.0,150186.0,149438.0,150692.0
370,48620,584043.0,588719.0,590712.0,593004.0,596270.0,590549.6
371,48660,150770.0,150995.0,150694.0,152033.0,151152.0,151128.8
372,48700,118930.0,118344.0,118108.0,117911.0,117530.0,118164.6
373,48900,205996.0,210563.0,214877.0,222498.0,230897.0,216966.2
374,49020,106252.0,108945.0,111464.0,114383.0,117847.0,111778.2
375,49180,578186.0,584321.0,588964.0,594765.0,602805.0,589808.2
376,49340,871081.0,879568.0,887129.0,892171.0,896901.0,885370.0
377,49420,222757.0,223402.0,225161.0,227280.0,228570.0,225434.0
378,49620,385773.0,389692.0,395093.0,401403.0,409066.0,396205.4
379,49660,599116.0,594958.0,592016.0,588478.0,584222.0,591758.0
380,49700,141387.0,144262.0,147404.0,150226.0,155049.0,147665.6
381,49740,162873.0,165398.0,168003.0,172824.0,178816.0,169582.8
382,Legend / Footnotes:,,,,,,
383,1/ Census Bureau midyear population estimates. Estimates for 2010-2013 reflect county population estimates available as of March 2014.,,,,,,
384,"Geographic Note-- Cibola, NM was separated from Valencia in June 1981, but in these estimates, Valencia includes Cibola through the end of 1981.",,,,,,
