ID Code,FIPS,U.S. Regional Title,Patents 2001,Patents 2002,Patents 2003,Patents 2004,Patents 2005,Average Patents,Population 2000,Population 2006,Average Population,,AVG. PATENT INTENSITY,LN PATENT INTENSITY,AVG. GDP/CAPITA,LN AVG. GDP/CAPITA
129940,29940,"Lawrence, KS",10,30,18,11,16,17,95802,112123,103962.5,,16.35205002,2.794353273,32239.4,10.38094459
130020,30020,"Lawton, OK",2,2,2,3,1,2,233450,109181,171315.5,,1.167436688,0.154810481,34900.2,10.46024784
130140,30140,"Lebanon, PA",15,11,9,5,12,10.4,361094,126883,243988.5,,4.262495978,1.449854899,29774.6,10.30141096
130300,30300,"Lewiston, ID-WA",3,3,3,3,3,3,140518,126883,133700.5,,2.243821078,0.808180251,31581.2,10.36031729
130340,30340,"Lewiston-Auburn, ME",8,4,6,7,4,5.8,591932,107552,349742,,1.658365309,0.505832364,35017.6,10.46360607
130460,30460,"Lexington-Fayette, KY",203,179,170,155,134,168.2,207033,437545,322289,,52.18918424,3.954875275,49752.4,10.81481398
130620,30620,"Lima, OH",11,6,7,3,3,6,169871,105788,137829.5,,4.353204503,1.470912241,44193.4,10.69633074
130700,30700,"Lincoln, NE",64,62,46,52,51,55,1183110,285569,734339.5,,7.489723759,2.013531915,47442.4,10.76727162
130780,30780,"Little Rock-North Little Rock-Conway, AR",73,48,37,37,49,48.8,4669571,654583,2662077,,1.833155089,0.606038575,53936,10.89555344
130860,30860,"Logan, UT-ID",42,32,35,34,45,37.6,158422,111813,135117.5,,27.82763151,3.326029466,29231,10.28298507
130980,30980,"Longview, TX",23,21,15,14,12,17,118769,207652,163210.5,,10.41599652,2.343342751,47445,10.76732642
131020,31020,"Longview, WA",12,8,6,6,9,8.2,124277,99905,112091,,7.31548474,1.989993299,30730.2,10.33300116
131100,31100,"Los Angeles-Long Beach-Santa Ana, CA",3995,3889,4057,3959,3674,3914.8,146424,12950129,6548276.5,,59.78366979,4.090732543,29231,10.28298507
131140,31140,"Louisville/Jefferson County, KY-IN",148,120,152,168,116,140.8,493175,1220636,856905.5,,16.43121674,2.799182986,47047.2,10.75890663
131180,31180,"Lubbock, TX",32,38,28,15,17,26,214911,260548,237729.5,,10.93680002,2.392133251,34486.6,10.44832612
131340,31340,"Lynchburg, VA",38,41,31,23,26,31.8,114996,243630,179313,,17.73435278,2.875503594,33222.4,10.41097963
131420,31420,"Macon, GA",13,16,16,19,12,15.2,1644561,221212,932886.5,,1.629351481,0.488182071,33828.6,10.42906188
131460,31460,"Madera-Chowchilla, CA",5,4,3,9,8,5.8,589959,146345,368152,,1.575436233,0.454532207,24762.8,10.11709781
131540,31540,"Madison, WI",258,269,276,228,224,251,406934,543022,474978,,52.8445528,3.967354638,61193.8,11.02180116
131700,31700,"Manchester-Nashua, NH",257,278,304,283,230,270.4,191701,402789,297245,,90.9687295,4.510515816,54515,10.90623117
131740,31740,"Manhattan, KS",15,14,13,17,13,14.4,716998,106627,411812.5,,3.496736986,1.251830244,30272.2,10.31798508
131860,31860,"Mankato-North Mankato, MN",30,13,16,14,11,16.8,1337726,89567,713646.5,,2.35410669,0.856161331,40200.6,10.6016372
131900,31900,"Mansfield, OH",6,7,10,7,6,7.2,7039362,127010,3583186,,0.200938494,-1.604756416,29737.8,10.30017424
132580,32580,"McAllen-Edinburg-Mission, TX",6,6,9,7,3,6.2,124130,700634,412382,,1.503460384,0.407769374,18608,9.831346875
132780,32780,"Medford, OR",14,24,11,13,13,15,21199865,197071,10698468,,0.14020699,-1.964635446,29944.8,10.30711097
132820,32820,"Memphis, TN-MS-AR",144,142,141,133,107,133.4,536691,1268328,902509.5,,14.78100785,2.693343103,47190.2,10.76194152
132900,32900,"Merced, CA",9,8,5,9,7,7.6,417939,245658,331798.5,,2.290546823,0.828790576,23767,10.07605334
